hero,fraction,class,school,table,p_per_roll
unfrozen_hero_6,unfrozen,might,primal,unfrozen_might_skills_table,0.00851
unfrozen_hero_7,unfrozen,might,day,unfrozen_might_skills_table,0.01702
unfrozen_hero_7,unfrozen,might,night,unfrozen_might_skills_table,0.02553
unfrozen_hero_7,unfrozen,might,space,unfrozen_might_skills_table,0.03404
unfrozen_hero_7,unfrozen,might,primal,unfrozen_might_skills_table,0.00851
unfrozen_hero_8,unfrozen,might,day,unfrozen_might_skills_table,0.01702
unfrozen_hero_8,unfrozen,might,night,unfrozen_might_skills_table,0.02553
unfrozen_hero_8,unfrozen,might,space,unfrozen_might_skills_table,0.03404
unfrozen_hero_8,unfrozen,might,primal,unfrozen_might_skills_table,0.00851
unfrozen_hero_9,unfrozen,might,day,unfrozen_might_skills_table,0.01702
unfrozen_hero_9,unfrozen,might,night,unfrozen_might_skills_table,0.02553
unfrozen_hero_9,unfrozen,might,space,unfrozen_might_skills_table,0.03404
unfrozen_hero_9,unfrozen,might,primal,unfrozen_might_skills_table,0.00851
