faction,classType,className,heroId,heroName,specializationSid,specializationName,startingSkills,subclassA,subclassA_required,subclassA_starting_matches,subclassB,subclassB_required,subclassB_starting_matches
dungeon,might,Overlord,dungeon_hero_6,"Devir, son of Devir",dungeon_hero_6_specialization,Balthazar’s Lair,Triumvirate’s Strength (L1); Leadership (L1),Balthazar’s Bodyguard,Offense; Wisdom; Nightshade Magic; Leadership; Diplomacy,Leadership,Silvertongue’s Envoy,Defense; Sorcery; Daylight Magic; Luck; Scouting,
dungeon,might,Overlord,dungeon_hero_7,"Creta, daughter of Navarr",dungeon_hero_7_specialization,Gem Seeker,Triumvirate’s Strength (L1); Economy (L1),Balthazar’s Bodyguard,Offense; Wisdom; Nightshade Magic; Leadership; Diplomacy,,Silvertongue’s Envoy,Defense; Sorcery; Daylight Magic; Luck; Scouting,
dungeon,might,Overlord,dungeon_hero_8,Rhea,dungeon_hero_8_specialization,Four‑Leaf Horseshoe,Triumvirate’s Strength (L1); Luck (L1),Balthazar’s Bodyguard,Offense; Wisdom; Nightshade Magic; Leadership; Diplomacy,,Silvertongue’s Envoy,Defense; Sorcery; Daylight Magic; Luck; Scouting,Luck
dungeon,might,Overlord,dungeon_hero_9,Gleard the Grey,dungeon_hero_9_specialization,Arcane Dominion,Triumvirate’s Strength (L1); Arcane Magic (L1),Balthazar’s Bodyguard,Offense; Wisdom; Nightshade Magic; Leadership; Diplomacy,,Silvertongue’s Envoy,Defense; Sorcery; Daylight Magic; Luck; Scouting,
dungeon,magic,Warlock,dungeon_hero_10,"Kelarr, son of Navarr",dungeon_hero_10_specialization,Wish to Learn,Triumvirate’s Strength (L1); Insight (L1),Amelchia’s Heir,Battlecraft; Summon Avatar; Primal Magic; Insight; Tactics,Insight,Great Merchant,Resistance; Battle Magic; Arcane Magic; Logistics; Economy,
dungeon,magic,Warlock,dungeon_hero_11,Zakron the Great,dungeon_hero_11_specialization,Spellweaver,Triumvirate’s Strength (L1); Sorcery (L1),Amelchia’s Heir,Battlecraft; Summon Avatar; Primal Magic; Insight; Tactics,,Great Merchant,Resistance; Battle Magic; Arcane Magic; Logistics; Economy,
dungeon,magic,Warlock,dungeon_hero_12,Sister Deira,dungeon_hero_12_specialization,Mask of the Sun,Triumvirate’s Strength (L1); Thaumaturgy (L1),Amelchia’s Heir,Battlecraft; Summon Avatar; Primal Magic; Insight; Tactics,,Great Merchant,Resistance; Battle Magic; Arcane Magic; Logistics; Economy,
dungeon,magic,Warlock,dungeon_hero_13,Motley,dungeon_hero_13_specialization,Danse Macabre,Triumvirate’s Strength (L1); Luck (L1),Amelchia’s Heir,Battlecraft; Summon Avatar; Primal Magic; Insight; Tactics,,Great Merchant,Resistance; Battle Magic; Arcane Magic; Logistics; Economy,
dungeon,magic,Warlock,dungeon_hero_14,Ylwari,dungeon_hero_14_specialization,Charismatic,Triumvirate’s Strength (L1); Diplomacy (L1),Amelchia’s Heir,Battlecraft; Summon Avatar; Primal Magic; Insight; Tactics,,Great Merchant,Resistance; Battle Magic; Arcane Magic; Logistics; Economy,
dungeon,magic,Warlock,dungeon_hero_15,Glastor,dungeon_hero_15_specialization,Wealthy,Triumvirate’s Strength (L1); Economy (L1),Amelchia’s Heir,Battlecraft; Summon Avatar; Primal Magic; Insight; Tactics,,Great Merchant,Resistance; Battle Magic; Arcane Magic; Logistics; Economy,Economy
dungeon,magic,Warlock,dungeon_hero_16,Typhona,dungeon_hero_16_specialization,Alvarian Hydra,Triumvirate’s Strength (L2),Amelchia’s Heir,Battlecraft; Summon Avatar; Primal Magic; Insight; Tactics,,Great Merchant,Resistance; Battle Magic; Arcane Magic; Logistics; Economy,
dungeon,magic,Warlock,dungeon_hero_17,Sunny Rauktol,dungeon_hero_17_specialization,Radiating Knowledge,Triumvirate’s Strength (L1); Daylight Magic (L1),Amelchia’s Heir,Battlecraft; Summon Avatar; Primal Magic; Insight; Tactics,,Great Merchant,Resistance; Battle Magic; Arcane Magic; Logistics; Economy,
dungeon,magic,Warlock,dungeon_hero_18,Lodos,dungeon_hero_18_specialization,Shadowmastery,Triumvirate’s Strength (L1); Nightshade Magic (L1),Amelchia’s Heir,Battlecraft; Summon Avatar; Primal Magic; Insight; Tactics,,Great Merchant,Resistance; Battle Magic; Arcane Magic; Logistics; Economy,
