score,fraction,class,id,specialization,army_value,army_z,spec_bonus_count,spec_z,skill_high_share,skill_z,skill_total_weight,table,cost,start_level,army_pieces
-1.248,demon,magic,campaign_M10_hero_demon_1,demon_hero_12_specialization_alt,48525.0,-0.544,12,0.37,0.766,-1.074,2350,demons_magic_skills_table,2500.0,15,"wasp_upg_alt×15, jaw_upg×30, trick_demon_upg_alt×60, wasp×15, trick_demon_upg×60, jaw_upg_alt×30, wasp_upg×15"
-1.461,unfrozen,magic,unfrozen_hero_12,unfrozen_hero_12_specialization,2124.0,-1.006,14,0.597,0.766,-1.052,2350,unfrozen_magic_skills_table,2500.0,1,"lesser_eldritch×12, lesser_eldritch×12, lesser_eldritch×12"
-1.672,undead,magic,necro_hero_10,necro_hero_10_specialization,2706.5,-0.517,15,0.263,0.7609,-1.418,2300,necros_magic_skills_table,2500.0,1,"skeleton×24, flicker×12, pet×9"
-1.672,undead,magic,necro_hero_14,necro_hero_14_specialization,2706.5,-0.517,15,0.263,0.7609,-1.418,2300,necros_magic_skills_table,2500.0,1,"skeleton×24, flicker×12, pet×9"
-1.741,undead,magic,necro_hero_13,necro_hero_13_specialization,3753.5,-0.486,14,0.162,0.7609,-1.418,2300,necros_magic_skills_table,2500.0,1,"skeleton×24, graverobber×6, graverobber×6"
-1.767,undead,magic,necro_hero_12,necro_hero_12_specialization,2903.0,-0.511,14,0.162,0.7609,-1.418,2300,necros_magic_skills_table,2500.0,1,"skeleton×24, flicker×12, lich×4"
-1.781,undead,magic,necro_hero_11,necro_hero_11_specialization,2430.0,-0.525,14,0.162,0.7609,-1.418,2300,necros_magic_skills_table,2500.0,1,"flicker×9, flicker×9, flicker×9"
-1.794,nature,magic,campaign_M4_hero_sylvan_3,nature_hero_12_specialization,3528.0,-0.172,8,-0.531,0.766,-1.091,2350,nature_magic_skills_table,2500.0,8,"elf_tracker×14, elf_tracker×14, elf_tracker×14"
-1.834,nature,magic,campaign_M2_hero_sylvan,campaign_hero_2_specialization,8041.0,0.147,7,-0.89,0.766,-1.091,2350,nature_magic_skills_table,2500.0,8,"aqualotl_upg×3, ent_upg_alt×4, twinkle_upg×7, ent_upg×5, twinkle_upg_alt×8, aqualotl_upg_alt×2"
-1.836,human,magic,campaign_M4_hero_preacher,human_hero_10_specialization,9716.0,-0.178,8,-0.527,0.766,-1.132,2350,humans_magic_skills_table,2500.0,12,"inquisitor_upg×2, inquisitor×2, inquisitor_upg_alt×2"
-1.845,human,magic,human_hero_11,human_hero_11_specialization,3046.5,-0.434,9,-0.279,0.766,-1.132,2350,humans_magic_skills_table,2500.0,1,"esquire×14, crossbowman×10, griffin×5"
-1.868,nature,magic,nature_hero_10,nature_hero_10_specialization,2472.0,-0.246,8,-0.531,0.766,-1.091,2350,nature_magic_skills_table,2500.0,1,"elf_tracker×10, twinkle×6, ent×4"
-1.868,nature,magic,nature_hero_12,nature_hero_12_specialization,2472.0,-0.246,8,-0.531,0.766,-1.091,2350,nature_magic_skills_table,2500.0,1,"elf_tracker×10, twinkle×6, ent×4"
-1.868,nature,magic,nature_hero_13,nature_hero_13_specialization,2472.0,-0.246,8,-0.531,0.766,-1.091,2350,nature_magic_skills_table,2500.0,1,"elf_tracker×10, twinkle×6, ent×4"
-1.868,nature,magic,nature_hero_14,nature_hero_14_specialization,2472.0,-0.246,8,-0.531,0.766,-1.091,2350,nature_magic_skills_table,2500.0,1,"elf_tracker×10, twinkle×6, ent×4"
-1.868,nature,magic,nature_hero_15,nature_hero_15_specialization,2472.0,-0.246,8,-0.531,0.766,-1.091,2350,nature_magic_skills_table,2500.0,1,"elf_tracker×10, twinkle×6, ent×4"
-1.868,nature,magic,nature_hero_16,nature_hero_16_specialization,2472.0,-0.246,8,-0.531,0.766,-1.091,2350,nature_magic_skills_table,2500.0,1,"elf_tracker×10, twinkle×6, ent×4"
-2.044,human,might,tutorial_hero_c1_4,tutorial_human_hero_1_specialization,3660.0,-0.411,2,-2.014,0.8298,0.38,2350,humans_might_skills_table,2500.0,30,angel×1
-2.052,human,magic,campaign_M3_hero_temple,human_hero_8_specialization,4111.0,-0.393,8,-0.527,0.766,-1.132,2350,humans_magic_skills_table,2500.0,5,"esquire×18, crossbowman×14, griffin×7"
-2.064,human,magic,campaign_M9_hero_temple_1,human_hero_5_specialization,3787.0,-0.406,8,-0.527,0.766,-1.132,2350,humans_magic_skills_table,2500.0,15,"esquire×18, crossbowman×13, griffin×6"
-2.064,human,magic,campaign_M9_hero_temple_4,human_hero_5_specialization,3787.0,-0.406,8,-0.527,0.766,-1.132,2350,humans_magic_skills_table,2500.0,15,"esquire×18, crossbowman×13, griffin×6"
-2.07,human,magic,campaign_M4_hero_temple_2,human_hero_17_specialization,3632.0,-0.412,8,-0.527,0.766,-1.132,2350,humans_magic_skills_table,2500.0,8,"sunlight_cavalry×2, sunlight_cavalry×1, sunlight_cavalry×1"
-2.093,human,magic,human_hero_10,human_hero_10_specialization,3046.5,-0.434,8,-0.527,0.766,-1.132,2350,humans_magic_skills_table,2500.0,1,"esquire×14, crossbowman×10, griffin×5"
-2.093,human,magic,human_hero_14,human_hero_14_specialization,3046.5,-0.434,8,-0.527,0.766,-1.132,2350,humans_magic_skills_table,2500.0,1,"esquire×14, crossbowman×10, griffin×5"
-2.093,human,magic,human_hero_15,human_hero_15_specialization,3046.5,-0.434,8,-0.527,0.766,-1.132,2350,humans_magic_skills_table,2500.0,1,"esquire×14, crossbowman×10, griffin×5"
-2.093,human,magic,human_hero_16,human_hero_16_specialization,3046.5,-0.434,8,-0.527,0.766,-1.132,2350,humans_magic_skills_table,2500.0,1,"esquire×14, crossbowman×10, griffin×5"
-2.093,human,magic,human_hero_17,human_hero_17_specialization,3046.5,-0.434,8,-0.527,0.766,-1.132,2350,humans_magic_skills_table,2500.0,1,"esquire×14, crossbowman×10, griffin×5"
-2.093,human,magic,human_hero_18,human_hero_18_specialization,3046.5,-0.434,8,-0.527,0.766,-1.132,2350,humans_magic_skills_table,2500.0,1,"esquire×14, crossbowman×10, griffin×5"
-2.126,dungeon,magic,dungeon_hero_13,dungeon_hero_13_specialization,2205.0,-1.661,14,0.551,0.7708,-1.017,2400,dungeon_magic_skills_table,2500.0,1,"blade_dancer×5, blade_dancer×5, blade_dancer×5"
-2.156,demon,magic,demon_hero_11,demon_hero_11_specialization,3173.5,-0.589,9,-0.494,0.766,-1.074,2350,demons_magic_skills_table,2500.0,1,"trick_demon×16, locust×10, wasp×5"
-2.159,human,might,tutorial_hero_c1_3,tutorial_human_hero_1_specialization,670.0,-0.526,2,-2.014,0.8298,0.38,2350,humans_might_skills_table,2500.0,3,esquire×10
-2.227,nature,magic,nature_hero_18,nature_hero_18_specialization,2472.0,-0.246,7,-0.89,0.766,-1.091,2350,nature_magic_skills_table,2500.0,1,"elf_tracker×10, twinkle×6, ent×4"
-2.351,undead,magic,campaign_M9_hero_undead_2,necro_hero_18_specialization,3540.0,-0.492,8,-0.442,0.7609,-1.418,2300,necros_magic_skills_table,2500.0,15,"skeleton×30, flicker×15, pet×12"
-2.376,undead,magic,necro_hero_15,necro_hero_15_specialization,2706.5,-0.517,8,-0.442,0.7609,-1.418,2300,necros_magic_skills_table,2500.0,1,"skeleton×24, flicker×12, pet×9"
-2.376,undead,magic,necro_hero_16,necro_hero_16_specialization,2706.5,-0.517,8,-0.442,0.7609,-1.418,2300,necros_magic_skills_table,2500.0,1,"skeleton×24, flicker×12, pet×9"
-2.376,undead,magic,necro_hero_18,necro_hero_18_specialization,2706.5,-0.517,8,-0.442,0.7609,-1.418,2300,necros_magic_skills_table,2500.0,1,"skeleton×24, flicker×12, pet×9"
-2.444,demon,magic,demon_hero_10,demon_hero_10_specialization,3173.5,-0.589,8,-0.782,0.766,-1.074,2350,demons_magic_skills_table,2500.0,1,"trick_demon×16, locust×10, wasp×5"
-2.444,demon,magic,demon_hero_12,demon_hero_12_specialization,3173.5,-0.589,8,-0.782,0.766,-1.074,2350,demons_magic_skills_table,2500.0,1,"trick_demon×16, locust×10, wasp×5"
-2.444,demon,magic,demon_hero_15,demon_hero_15_specialization,3173.5,-0.589,8,-0.782,0.766,-1.074,2350,demons_magic_skills_table,2500.0,1,"trick_demon×16, locust×10, wasp×5"
-2.444,demon,magic,demon_hero_16,demon_hero_16_specialization,3173.5,-0.589,8,-0.782,0.766,-1.074,2350,demons_magic_skills_table,2500.0,1,"trick_demon×16, locust×10, wasp×5"
-2.452,undead,magic,campaign_M9_hero_undead_4,necro_hero_17_specialization,3540.0,-0.492,7,-0.542,0.7609,-1.418,2300,necros_magic_skills_table,2500.0,15,"skeleton×30, flicker×15, pet×12"
-2.477,undead,magic,necro_hero_17,necro_hero_17_specialization,2706.5,-0.517,7,-0.542,0.7609,-1.418,2300,necros_magic_skills_table,2500.0,1,"skeleton×24, flicker×12, pet×9"
-2.479,unfrozen,magic,unfrozen_hero_10,unfrozen_hero_10_specialization,3251.5,-0.274,8,-1.153,0.766,-1.052,2350,unfrozen_magic_skills_table,2500.0,1,"lesser_eldritch×16, unfrozen_cultist×8, frostworm_rider×6"
-2.479,unfrozen,magic,unfrozen_hero_11,unfrozen_hero_11_specialization,3251.5,-0.274,8,-1.153,0.766,-1.052,2350,unfrozen_magic_skills_table,2500.0,1,"lesser_eldritch×16, unfrozen_cultist×8, frostworm_rider×6"
-2.479,unfrozen,magic,unfrozen_hero_15,unfrozen_hero_15_specialization,3251.5,-0.274,8,-1.153,0.766,-1.052,2350,unfrozen_magic_skills_table,2500.0,1,"lesser_eldritch×16, unfrozen_cultist×8, frostworm_rider×6"
-2.479,unfrozen,magic,unfrozen_hero_16,unfrozen_hero_16_specialization,3251.5,-0.274,8,-1.153,0.766,-1.052,2350,unfrozen_magic_skills_table,2500.0,1,"lesser_eldritch×16, unfrozen_cultist×8, frostworm_rider×6"
-2.479,unfrozen,magic,unfrozen_hero_17,unfrozen_hero_17_specialization,3251.5,-0.274,8,-1.153,0.766,-1.052,2350,unfrozen_magic_skills_table,2500.0,1,"lesser_eldritch×16, unfrozen_cultist×8, frostworm_rider×6"
-2.482,dungeon,magic,dungeon_hero_10,dungeon_hero_10_specialization,2673.0,-0.601,9,-0.864,0.7708,-1.017,2400,dungeon_magic_skills_table,2500.0,1,"trogl×22, assassin×10, blade_dancer×6"
-2.732,demon,magic,demon_hero_18,demon_hero_18_specialization,3173.5,-0.589,7,-1.069,0.766,-1.074,2350,demons_magic_skills_table,2500.0,1,"trick_demon×16, locust×10, wasp×5"
-2.765,dungeon,magic,dungeon_hero_11,dungeon_hero_11_specialization,2673.0,-0.601,8,-1.148,0.7708,-1.017,2400,dungeon_magic_skills_table,2500.0,1,"trogl×22, assassin×10, blade_dancer×6"
-2.765,dungeon,magic,dungeon_hero_12,dungeon_hero_12_specialization,2673.0,-0.601,8,-1.148,0.7708,-1.017,2400,dungeon_magic_skills_table,2500.0,1,"trogl×22, assassin×10, blade_dancer×6"
-2.765,dungeon,magic,dungeon_hero_14,dungeon_hero_14_specialization,2673.0,-0.601,8,-1.148,0.7708,-1.017,2400,dungeon_magic_skills_table,2500.0,1,"trogl×22, assassin×10, blade_dancer×6"
-2.765,dungeon,magic,dungeon_hero_15,dungeon_hero_15_specialization,2673.0,-0.601,8,-1.148,0.7708,-1.017,2400,dungeon_magic_skills_table,2500.0,1,"trogl×22, assassin×10, blade_dancer×6"
